eta,theta,beta1,beta2,beta3,beta4,objective,converged,max_gap,max_iter
0.0025,0.2,-0.0037024739277650817,0.001745560632475242,-0.0018500092978431968,0.00020700759360382857,0.00807813311618026,True,1.6531075643477777e-05,18
0.04,0.2,-0.05507280118486619,0.024910518149119296,-0.03181077010623266,0.0036498182915970607,0.00809356648218354,True,1.7591296948893387e-05,26
0.005,0.08,-0.0031679920568603594,0.001494258961483533,-0.0015808754918486111,0.00017683776974159718,0.008122153269399083,True,1.4863469464110324e-05,19
0.0025,0.16,-0.003029179306768614,0.00142878616204269,-0.0015115006896530181,0.00016907629116591792,0.008133734116023143,True,1.5245840705002678e-05,18
0.065,0.12,-0.056195013049219755,0.02545027741122446,-0.032329060900682716,0.003707294199204334,0.008174244531419645,True,1.8881492023448132e-05,27
0.05,0.16,-0.0562604591739854,0.02544749451337111,-0.032510504773118745,0.003730309834867591,0.00819145299056168,True,1.5660965626551615e-05,27
0.0025,0.12,-0.0023245285097516946,0.0010969211105770766,-0.001158315598549186,0.0001295280455418598,0.008193385012723256,True,1.7988718573391793e-05,17
0.0025,0.08,-0.0015863852860397477,0.0007489389095931841,-0.0007894359782280761,8.82504585663386e-05,0.008257468595378068,True,1.854141530666098e-05,16
0.03,0.3,-0.05816929760634141,0.026140390590345702,-0.03440432439420582,0.003959278093987195,0.008423696615513027,True,1.6592925573988282e-05,25
0.02,0.5,-0.05808353009636924,0.025928243834235854,-0.03516006804678276,0.004057148927955992,0.00848667455453939,True,1.980063903550544e-05,23
0.015,0.75,-0.05786498197390752,0.025610055072553674,-0.03608396761770278,0.004176689893576731,0.00856182224443355,True,1.8108988631970746e-05,20
0.0125,1.0,-0.05756277569135905,0.025252828150820014,-0.03699912442672861,0.004294617985766691,0.008635942828316645,True,1.803409705525283e-05,18
0.025,0.4,-0.06083391594908205,0.027155097944304787,-0.03686919184723879,0.004255015246621041,0.008758517824109142,True,1.5988299209901413e-05,24
0.04,0.25,-0.0654852196737248,0.029229697420395707,-0.039769576363027706,0.00459093059635495,0.009274184308004035,True,1.672546605657743e-05,26
0.05,0.2,-0.06719784716724543,0.029993512154802567,-0.040840735345398324,0.004715032847495292,0.009481807303167456,True,1.9670708844898854e-05,27
0.08,0.12,-0.06766834614067278,0.030285028243490917,-0.04074553336056425,0.004699123747465616,0.009501872368771576,True,1.671347014897684e-05,28
0.0175,0.75,-0.06601128695820821,0.028824326951074827,-0.043298703143746745,0.005035186082155121,0.00966457093287754,True,1.962933602861483e-05,21
0.065,0.16,-0.07101768269625869,0.03161051898217484,-0.04365628547227231,0.005046446943810751,0.010023142917185224,True,1.9920504904513692e-05,27
0.015,1.0,-0.06706691977879135,0.02888368308017048,-0.04615404115524057,0.005386357941080216,0.01004009222686973,True,1.9907604126512268e-05,19
0.025,0.5,-0.07041923231704393,0.030885233363022412,-0.0455847528876327,0.005295587279602722,0.01018889934328332,True,1.7835593174142517e-05,23
0.03,0.4,-0.07121637698293566,0.03134619824805238,-0.045546044394531984,0.005285475307731929,0.010240003450195902,True,1.8980595165363212e-05,24
0.04,0.3,-0.07471949625417372,0.032886057002459806,-0.047876357879232105,0.005557126802666414,0.010763547651439897,True,1.986616535720742e-05,26
0.02,0.75,-0.07371400924133123,0.03174050096069468,-0.05095758320587469,0.005949773157376475,0.011050851231803632,True,1.9726681320442196e-05,21
0.05,0.25,-0.07927078088008138,0.034761485179228474,-0.05157016941025926,0.005994337828320273,0.01158454994226572,True,1.9500111312575896e-05,27
0.0175,1.0,-0.07591467571240781,0.03207286804866327,-0.05603992321175117,0.006568284860668586,0.011872256404957808,True,1.5396653823884776e-05,19
0.03,0.5,-0.08182306538961891,0.03522428446517861,-0.056877912303634,0.006644848614906553,0.012498249682630157,True,1.9697272225283058e-05,24
0.065,0.2,-0.08399807634048324,0.03669776200393088,-0.0555048667018448,0.006460650672100379,0.012531430503829783,True,1.9784597043104313e-05,27
0.08,0.16,-0.08467382901875992,0.03704634153759443,-0.055684546079556474,0.006479083543594019,0.012623970568408865,True,1.7469192078678475e-05,28
0.05,0.3,-0.08971801035863891,0.03861464909511531,-0.06270719474525074,0.0073299408094350945,0.014136132863724768,True,1.881474835574437e-05,26
0.02,1.0,-0.08415404899128452,0.034862394081785535,-0.06664921555408138,0.007837234647882408,0.014138607622660896,True,1.781568739378514e-05,19
0.04,0.4,-0.09006463693387062,0.038471067114609334,-0.06465410980198531,0.007570044884819202,0.014462047785201219,True,1.7206271484493385e-05,25
0.025,0.75,-0.08784931207149894,0.036742066845086484,-0.06763988779933341,0.007946440736895736,0.01467337556949003,True,1.9306342171621083e-05,21
0.065,0.25,-0.09785431137788043,0.041708597408645194,-0.07113322155240123,0.00833647974962442,0.01643665280830957,True,1.865489902996842e-05,27
0.08,0.2,-0.0991235097217438,0.04232881122554468,-0.07164245064716263,0.00839372114760836,0.016690888278902062,True,1.9696297518301265e-05,28
0.04,0.5,-0.10196886441602179,0.04220787643746308,-0.08216193244479338,0.009674314677362322,0.01892093908349213,True,1.903474697306784e-05,24
0.03,0.75,-0.10045232814871251,0.040776422784968305,-0.08607085173773499,0.010151185787008339,0.01945474290586211,True,1.8923445417762252e-05,22
0.025,1.0,-0.09906094031111456,0.0394414794712643,-0.08986580896616313,0.010608614057472796,0.020023445712936086,True,1.8445130454569636e-05,20
0.05,0.4,-0.10647636502275386,0.04406468624396481,-0.08617321600065247,0.010149996343828,0.020344385847042117,True,1.9247940699074206e-05,26
0.065,0.3,-0.10940780015579339,0.045450275528291534,-0.0876331193617369,0.010319477437695701,0.02108650825457689,True,1.8419767781274743e-05,27
0.08,0.25,-0.11403717791114254,0.047177711246092234,-0.0929826012710024,0.010958069426647277,0.022930383152654027,True,1.8963232102375827e-05,28
0.03,1.0,-0.112341196838323,0.043027362601906614,-0.1153272859396644,0.013634518238010629,0.02781894154423188,True,1.747447622668652e-05,20
0.05,0.5,-0.11900993464831315,0.04731980365564342,-0.11077659834621481,0.013095582791572934,0.02782508777849058,True,1.8763968593127345e-05,25
0.08,0.3,-0.12608463378678259,0.05050521376816423,-0.1155721347155615,0.013664700949420957,0.03035787916861232,True,1.978798909640922e-05,28
0.065,0.4,-0.12716915841773943,0.050142257003877755,-0.12254458713648406,0.014498053310033631,0.032395325971625394,True,1.9117611085528452e-05,26
0.04,0.75,-0.12206589427613168,0.0467063991375344,-0.12731899159602328,0.015061600587978891,0.032719707630768306,True,1.9537631235300168e-05,23
0.065,0.5,-0.1402609635853706,0.05258922838921043,-0.1585421846802073,0.018770564981427297,0.04620124357683313,True,1.9163975308877923e-05,26
0.08,0.4,-0.14429071829854198,0.05427102938720894,-0.1627475655850324,0.01927411145581815,0.04860157355737477,True,1.722607034837509e-05,27
0.04,1.0,-0.13606480249697417,0.04858582319527461,-0.1711752884775281,0.0202296822989013,0.0497478915176814,True,1.8421840057847305e-05,21
0.05,0.75,-0.14057532442956538,0.05092926407862206,-0.17286035758887186,0.020445590043099076,0.05138556037972103,True,1.7582808138350003e-05,23
0.08,0.5,-0.1583087567706163,0.05624507175523512,-0.2103730288985612,0.024887449110777383,0.07120029128119769,True,1.871876437498088e-05,26
0.05,1.0,-0.1582940342448163,0.053406986197152465,-0.23212635291607614,0.027393792516307434,0.08139046580890832,True,1.842738806612232e-05,23
0.065,0.75,-0.16578435849671946,0.05605153732441346,-0.24694128799831444,0.029158224874781626,0.09101605278128794,True,1.95556591615631e-05,24
0.08,0.75,-0.19039533944037285,0.06095539409836423,-0.3280349443800517,0.038675505925255656,0.14781988573387964,True,1.9349608422647435e-05,26
0.065,1.0,-0.19177509754306812,0.06072884825981058,-0.3339273185120101,0.039341272242164604,0.15231297346781128,True,1.932369242396703e-05,26
0.08,1.0,-0.22736636348642472,0.06834904388960628,-0.453284865284556,0.05334306846472888,0.2638652253705444,True,1.9779611019732357e-05,27
