id,regime,eta,alpha,theta,sigma,amenity,productivity,wage,employment,epsilon_j,markdown
163611420,reinverted,0.1,0.8,1.42,0.12,-0.5159438703936389,0.6230908546818638,0.8872265571770167,8.999153559864582e-6,11.82797207142443,1.0845453467391872
163615667,reinverted,0.1,0.8,1.42,0.12,-0.576568174450176,4.875036063318542,1.987091243968743,0.0044219590614524755,10.308833839224311,1.0970041825870815
163617398,reinverted,0.1,0.8,1.42,0.12,0.550423107091038,0.1721770571588278,0.37161321766576616,1.1248941900056123e-6,11.833116357365911,1.0845085918028277
163618710,reinverted,0.1,0.8,1.42,0.12,0.5140313742625713,0.2617997520782502,0.3437422263408337,1.3498730336168929e-5,11.827535495232718,1.08454846746417
163619107,reinverted,0.1,0.8,1.42,0.12,-1.1681758659419388,0.9624895410751139,0.8913292099680266,7.70552530990054e-5,11.716865501845081,1.0853470580371967
163621493,reinverted,0.1,0.8,1.42,0.12,-0.5015325869826621,3.2296793516210434,1.5836124948352186,0.0018341399844523166,11.43972493403448,1.0874146892312844
163621733,reinverted,0.1,0.8,1.42,0.12,-0.5688239708332972,2.139785588787494,1.4539582615145745,0.00036277837778956137,11.753821391621535,1.085078713269612
163631368,reinverted,0.1,0.8,1.42,0.12,-0.19569399060778,0.7041180643387945,0.7803877570981088,3.1497037451089003e-5,11.826370052168674,1.0845567993888898
163633865,reinverted,0.1,0.8,1.42,0.12,-0.4971632471208062,1.1526157052512545,1.098601066613394,6.693120453759659e-5,11.813219568615752,1.0846509280718617
163637831,reinverted,0.1,0.8,1.42,0.12,1.1475158179782603,0.42231357074916437,0.3608364357710508,0.000112489417936704,11.035071600328335,1.090620164165518
16363880x,reinverted,0.1,0.8,1.42,0.12,0.11155791385538816,0.6236811413698239,0.6772950854409981,3.4871719929057164e-5,11.82325642184902,1.0845790672485145
163639909,reinverted,0.1,0.8,1.42,0.12,1.0251396383568396,0.5089138561263046,0.564055786939766,3.149703702240803e-5,11.830849940838265,1.0845247809752159
163642438,reinverted,0.1,0.8,1.42,0.12,-0.9501126915947921,2.8866492564957493,1.987091243968743,0.0003397180467938177,11.732305150551522,1.085234741780731
16364250x,reinverted,0.1,0.8,1.42,0.12,-0.1186857442284826,1.354682999948321,1.006963600906649,0.00023172820339958233,11.775228424849333,1.0849240425680147
163643617,reinverted,0.1,0.8,1.42,0.12,0.2011426098403168,0.8505181122424432,0.7045167487845471,0.00013498730281728285,11.808038379734219,1.0846880716204539
163644265,reinverted,0.1,0.8,1.42,0.12,0.017429317072342635,0.6330586892394288,0.6325331319281383,5.2870027113728973e-5,11.81321937840926,1.0846509294348394
163644898,reinverted,0.1,0.8,1.42,0.12,-0.5233312333533693,1.008876908739373,1.3479425153074958,1.23738360900693e-5,11.831667006474387,1.084518943903069
163657189,reinverted,0.1,0.8,1.42,0.12,-0.9427315760828894,1.1864677096894822,0.8369743410170674,0.0002969720703433561,11.382115796277416,1.0878571276112878
