id,z_j,a_j,epsilon_j,l_j_target,l_j_model
16395241x,0.28332169510100735,0.8082761635841716,4.9997571064219715,2.924724893064746e-5,2.9247248320182636e-5
163952612,1.617592961777799,0.6274905587408222,4.979895332885082,0.00044827033457165436,0.0004482703241245887
163956031,1.2969078619931003,0.09031301508765381,4.999035928155174,0.0001124894189640287,0.00011248941649444153
163956373,0.5238182385185024,0.35144292610235617,4.998278367652331,4.499576758561148e-5,4.499576650438169e-5
163957202,1.0937989054713473,-0.050944554080910684,4.990072867877495,0.00010067802997280568,0.00010067802738844462
16395778x,0.6101809222508566,0.6246585462012535,4.99389496472455,0.0001034902654469064,0.0001034902628174896
163959750,0.48402522622791777,0.6222836910442784,4.9948830498864085,4.499576758561148e-5,4.499576655182632e-5
163960022,0.6622052305798947,-0.21092197800043966,4.984541252981926,3.88088495425899e-5,3.880884842059902e-5
163963047,0.6124211827749673,0.3366208914965195,4.997937079122247,5.399492110273377e-5,5.3994919958066755e-5
163963063,0.12809433896115738,1.4108180681072713,4.995486250680816,2.8122354741007175e-5,2.812235399355531e-5
163963717,0.8250439766981982,0.3971635613411576,4.9978205017589,8.774174679194238e-5,8.774174495214115e-5
163964517,0.630706857175552,0.14239591736426752,4.99078483593529,4.049619082705033e-5,4.049618980512642e-5
163966141,0.2905480716578887,0.30679152941832244,4.998429538197885,1.912320122388488e-5,1.91232007474238e-5
163966344,1.086822749512312,0.2731269321257832,4.992637152334576,0.00013217506728273372,0.00013217506387170662
163969078,0.5875407076321213,0.7128742098480794,4.986316143121726,8.211727584374094e-5,8.2117273851392e-5
163972146,0.6130515080804776,0.0994063867168051,4.994036541101177,5.2870026913093485e-5,5.287002553589371e-5
163973253,0.4458328146792106,0.112579099587512,4.999264619798276,2.249788379280574e-5,2.2497883228234085e-5
163977262,0.33187380416989354,0.21532215578645658,4.999544288154966,1.5748518654964018e-5,1.5748518299637664e-5
16397802x,1.038209225032606,0.4735145676775458,4.997452352192868,0.000145111350463597,0.00014511134758131192
163978206,0.3435285946900488,0.6885602321840864,4.999352142423077,3.374682568920861e-5,3.3746824871106585e-5
163978361,0.547653682243202,0.3316824421234069,4.998700710712552,4.274597920633091e-5,4.274597812473467e-5
163978863,0.38719815502415944,0.2032466272840177,4.998935398904225,2.0248095413525164e-5,2.0248094918279193e-5
163979276,0.23978732005595318,0.6384059615065765,4.9992076396961265,1.7998307034244593e-5,1.799830660870135e-5
16398581x,1.2424050675777192,0.489684089252539,4.969969652443186,0.00025816321652244586,0.00025816320779674325
16398725x,0.6733793590105196,0.4985352461353038,4.9018324540246505,0.00011811388991223013,0.00011811388641893611
163990088,2.062189007119749,0.5443504461227289,4.668582085819516,0.0007463672948263304,0.0007463672740597634
163997300,2.714500142355295,1.426387891316995,4.5480606671123605,0.004336467101063306,0.004336466954788388
