id,eta,alpha,theta,sigma,amenity,productivity,wage,employment,epsilon_j,markdown
163577402,0.1,0.8,1.42,0.12,0.0,1.0,1.1065889605387158,0.00012962034851660826,11.812021935090417,1.0846595109199098
163577867,0.1,0.8,1.42,0.12,0.0,1.0,1.0176720085057147,0.00019679233276283524,11.773288476751356,1.0849380359595107
163578050,0.1,0.8,1.42,0.12,0.0,1.0,1.1084556467529225,0.00012853942356836506,11.813631853424193,1.084647973832886
163579002,0.1,0.8,1.42,0.12,0.0,1.0,1.1303212892640986,0.00011647348643154456,11.786411850482297,1.0848434631918178
163580118,0.1,0.8,1.42,0.12,0.0,1.0,1.0200442450948697,0.00019445026905077752,11.763343222250429,1.0850098463597062
163580986,0.1,0.8,1.42,0.12,0.0,1.0,1.0648030853212547,0.00015709148801162302,11.804660262162672,1.0847123066476794
163581057,0.1,0.8,1.42,0.12,0.0,1.0,1.1905603686433872,8.992132259201619e-5,11.813063434610942,1.0846520469085192
163582121,0.1,0.8,1.42,0.12,0.0,1.0,1.008737743494454,0.0002056150818423585,11.76629790423972,1.084988499198178
163582594,0.1,0.8,1.42,0.12,0.0,1.0,1.0181259940263092,0.00019635719144549046,11.773781583985643,1.0849344786011803
163584856,0.1,0.8,1.42,0.12,0.0,1.0,1.1965123881186033,8.771834153377224e-5,11.817011018399933,1.0846237680952424
163585330,0.1,0.8,1.42,0.12,0.0,1.0,1.0534022883693086,0.00016562049531056278,11.775923920589541,1.0849190268842988
163587264,0.1,0.8,1.42,0.12,0.0,1.0,0.9131943218724627,0.00033731067718288925,11.690659976928364,1.0855383701154178
163587483,0.1,0.8,1.42,0.12,0.0,1.0,0.9074989341613269,0.00034806922792798254,11.69408717947563,1.085513301265199
16358790x,0.1,0.8,1.42,0.12,0.0,1.0,1.066877885769283,0.0001555234481986904,11.795637508713025,1.0847771050323762
163588160,0.1,0.8,1.42,0.12,0.0,1.0,1.0449655280415657,0.0001703596256652457,11.425355952400768,1.0875246254178954
163588187,0.1,0.8,1.42,0.12,0.0,1.0,0.9824387721997715,0.00023414698967513955,11.70228236170895,1.0854534157603393
163589614,0.1,0.8,1.42,0.12,0.0,1.0,0.9101439055249071,0.0003432121199089715,11.708918838898823,1.0854049817714893
163591415,0.1,0.8,1.42,0.12,0.0,1.0,0.9326977154628501,0.0003041499691731764,11.75565557575061,1.0850654388057086
163592047,0.1,0.8,1.42,0.12,0.0,1.0,1.0604923337386611,0.000160046949421743,11.755153267700067,1.085069073726816
163592661,0.1,0.8,1.42,0.12,0.0,1.0,1.0828561868049915,0.00014445928160787614,11.811639349963036,1.0846622530853967
163593461,0.1,0.8,1.42,0.12,0.0,1.0,0.9329329243188867,0.00030367435904156165,11.746538979707696,1.0851314588686518
163594309,0.1,0.8,1.42,0.12,0.0,1.0,1.0414019213504004,0.0001754255430568841,11.782810195180787,1.0848693973199197
163595344,0.1,0.8,1.42,0.12,0.0,1.0,1.0131918004870222,0.000201290746374592,11.789572548366626,1.0848207172819462
163598908,0.1,0.8,1.42,0.12,0.0,1.0,1.0337131956198935,0.0001820595462141743,11.78482578399416,1.08485488189042
163604239,0.1,0.8,1.42,0.12,0.0,1.0,0.9469211543990369,0.0002820395932158531,11.761654716497974,1.0850220503920514
163604423,0.1,0.8,1.42,0.12,0.0,1.0,1.0109727941937379,0.00020330282397987892,11.758999630543006,1.085041247675745
163607085,0.1,0.8,1.42,0.12,0.0,1.0,0.9351115805014053,0.00030030197294649057,11.761391245740036,1.0850239549987082
163608096,0.1,0.8,1.42,0.12,0.0,1.0,0.9175561914621563,0.00032968999006448827,11.719630300295428,1.085326923663692
163608723,0.1,0.8,1.42,0.12,0.0,1.0,1.0776150423281259,0.0001479046957855138,11.7908256928202,1.0848117024246173
163611420,0.1,0.8,1.42,0.12,0.0,1.0,0.9152098248874325,0.0003336174866678454,11.69107498299943,1.0855353337014901
163615667,0.1,0.8,1.42,0.12,0.0,1.0,0.997819347963499,0.00021664839352770142,11.702215950409602,1.0854539007174104
163617398,0.1,0.8,1.42,0.12,0.0,1.0,1.0281473571334645,0.0001870586337386555,11.787658622443145,1.0848344893612754
163618710,0.1,0.8,1.42,0.12,0.0,1.0,1.0376364301678205,0.00017857536902217362,11.773308612986511,1.0849378906874958
163619107,0.1,0.8,1.42,0.12,0.0,1.0,0.8778500694599193,0.00041053791123304745,11.663997735248044,1.0857338986767846
163621493,0.1,0.8,1.42,0.12,0.0,1.0,1.1001137721491203,0.00013343488148272133,11.801752976660826,1.0847331749764295
163621733,0.1,0.8,1.42,0.12,0.0,1.0,1.0880840623198407,0.00014096649103658473,11.799718371274988,1.0847477853737917
163631368,0.1,0.8,1.42,0.12,0.0,1.0,1.0633838499567037,0.00015812554856160785,11.801402610649886,1.084735690577794
163633865,0.1,0.8,1.42,0.12,0.0,1.0,1.0275527904914117,0.00018757058008456604,11.78286109533357,1.0848690306971398
163637831,0.1,0.8,1.42,0.12,0.0,1.0,0.9310628829880091,0.00024847681069183075,7.585974999347866,1.1318222113948393
16363880x,0.1,0.8,1.42,0.12,0.0,1.0,1.0776111308715222,0.0001479212527908898,11.79365528460167,1.084791353983836
163639909,0.1,0.8,1.42,0.12,0.0,1.0,1.2521374177504243,6.990427596435795e-5,11.823103266535382,1.0845801628774099
163642438,0.1,0.8,1.42,0.12,0.0,1.0,1.0471910135122227,0.00017063586077851163,11.783860303260317,1.0848618342601468
16364250x,0.1,0.8,1.42,0.12,0.0,1.0,1.081345904836898,0.00014539750781636832,11.796382625618287,1.0847717500980592
163643617,0.1,0.8,1.42,0.12,0.0,1.0,1.0281026299179281,0.00018709890962222007,11.787591394145554,1.084834973198737
163644265,0.1,0.8,1.42,0.12,0.0,1.0,1.014838664532204,0.00019949981075099678,11.764997000877417,1.0849978967207066
163644898,0.1,0.8,1.42,0.12,0.0,1.0,1.0365738760903405,0.0001796648873534698,11.80224870938557,1.0847296159082602
163657189,0.1,0.8,1.42,0.12,0.0,1.0,0.8940208796928744,0.0003738974266387398,11.598759569887122,1.0862161159540038
163660476,0.1,0.8,1.42,0.12,0.0,1.0,1.0191855157848149,0.00019504056684649694,11.72801492587056,1.0852659214982856
163660628,0.1,0.8,1.42,0.12,0.0,1.0,1.0337945179288561,0.00018181308984170638,11.755926959797732,1.0850634750811012
163661487,0.1,0.8,1.42,0.12,0.0,1.0,0.8793800110349478,0.0004069789662372897,11.663991243654863,1.0857339463919775
163662076,0.1,0.8,1.42,0.12,0.0,1.0,0.988922467516864,0.0002224948805697656,11.185437603357995,1.0894019559592187
163665605,0.1,0.8,1.42,0.12,0.0,1.0,0.9144793805089314,0.00033515041454695437,11.708672567660116,1.0854067781143735
163666456,0.1,0.8,1.42,0.12,0.0,1.0,1.019022696260678,0.00019523716853706512,11.734247618721003,1.0852206321609053
163668099,0.1,0.8,1.42,0.12,0.0,1.0,1.1773229086018633,9.507270974510337e-5,11.807075343085572,1.084694979149567
16367419x,0.1,0.8,1.42,0.12,0.0,1.0,1.0392717684264599,0.00017729591037212832,11.793894876001591,1.0847896314587997
163700175,0.1,0.8,1.42,0.12,0.0,1.0,1.0139825450513402,0.00020002709198725505,11.717715593544686,1.0853408663162043
163700239,0.1,0.8,1.42,0.12,0.0,1.0,1.0172027410281959,0.0001971357930098712,11.756398054349985,1.0850600664741858
16371813x,0.1,0.8,1.42,0.12,0.0,1.0,1.115766687643477,0.00012418277709906467,11.765052941095226,1.084997492574556
163719212,0.1,0.8,1.42,0.12,0.0,1.0,1.1860404558094746,9.164952207768149e-5,11.813615904162175,1.0846480881139602
163741137,0.1,0.8,1.42,0.12,0.0,1.0,0.8717141726990025,0.00042458599897059565,11.622049469758041,1.0860433439559967
163742818,0.1,0.8,1.42,0.12,0.0,1.0,1.0003666674446832,0.00021299027284085736,11.57626079144314,1.0863836793258124
163743423,0.1,0.8,1.42,0.12,0.0,1.0,1.000859798784124,0.00021363565685538456,11.73825264609219,1.0851915553489908
163744872,0.1,0.8,1.42,0.12,0.0,1.0,1.0725413656918326,0.0001514422909831257,11.792023054871139,1.0848030906441377
163747299,0.1,0.8,1.42,0.12,0.0,1.0,1.1869705673806916,9.129835571676296e-5,11.816055346203143,1.084630612391413
163747424,0.1,0.8,1.42,0.12,0.0,1.0,1.0766022581077968,0.00014815219784656408,11.700125321792887,1.085469169987212
163749569,0.1,0.8,1.42,0.12,0.0,1.0,1.0366844411056586,0.0001793525219159445,11.765887633183063,1.0849914627078132
163751714,0.1,0.8,1.42,0.12,0.0,1.0,0.8574164006766457,0.00045271739468138186,11.10161309723941,1.090076999733369
163751757,0.1,0.8,1.42,0.12,0.0,1.0,1.0078404339048006,0.00020655706329858895,11.76993889753576,1.084962208275301
