id,alpha,theta,sigma,eta,n_origins,pearson_correlation,covariance_population,epsilon_weighted,epsilon_origin_mean,epsilon_composition_gap,omega_max,epsilon_origin_sd,amenity,productivity,employment,wage,markdown
163567343,0.8,1.42,0.12,0.4,128,-0.8769256735440617,-0.018577173314486484,8.883487053130679,11.261365237384947,-2.377878184254268,0.11655060961949093,1.2112057512744079,-0.4606674043518893,4.581903073602121,0.003144641706394177,1.9870912454815348,1.1125684085561407
163567490,0.8,1.42,0.12,0.4,128,-0.9703121853090906,-0.017543968661531517,9.51099187633659,11.756619865012619,-2.245627988676029,0.3473995004946802,0.5391561465847452,2.42784800496807,0.35626925459185993,0.0009359119655983553,0.19821034872723498,1.1051415050083269
163567685,0.8,1.42,0.12,0.4,128,-0.9844486222602857,-0.0014089756337982557,11.650493937640379,11.830842818766554,-0.1803488811261751,0.8262950234181525,0.019680064693885793,0.09470741543472348,0.39092632294359253,2.474767216683434e-5,0.45775992491674505,1.0858332707053049
16356787x,0.8,1.42,0.12,0.4,128,-0.9467422072425666,-0.011911779573813664,10.241985852163642,11.766693637611793,-1.5247077854481503,0.3158465714689898,0.3551952184905147,0.188903235937553,0.8284198105592394,0.00042858468616042565,0.5424967658344311,1.0976373151100134
163567984,0.8,1.42,0.12,0.4,128,-0.9678267701476652,-0.006946443005415863,10.923498693477319,11.81264339817055,-0.8891447046932317,0.7865507072574746,0.10397894682579298,-0.8017540668655682,2.8836097473701026,0.00042914713325821816,1.898393177828252,1.091545760938034
16356867x,0.8,1.42,0.12,0.4,128,-0.9991846932486591,-0.01690050752672024,9.650757078279954,11.814022041700143,-2.1632649634201897,0.912605756950714,0.21110496899415604,-0.24044917868034735,0.655289452637403,6.636875717451152e-5,0.6197752303498595,1.1036188137250502
163568709,0.8,1.42,0.12,0.4,128,-0.9776022056540598,-0.004323696206902211,11.227088445068555,11.780521559552033,-0.5534331144834788,0.2242555140044819,0.2068670142888484,0.07868485685282339,2.0825142980583844,0.00040608680235428376,1.3893804294520655,1.0890702878927836
163568848,0.8,1.42,0.12,0.4,128,-0.9711620201235639,-0.0003180624761131203,11.784022494819862,11.824734491762346,-0.04071199694248406,0.19169075494149226,0.017605079070767166,-0.05837734396950735,0.9760888636689574,5.736960365768301e-5,0.966923008916724,1.084860666248693
163569146,0.8,1.42,0.12,0.4,128,-0.94253970309796,-0.006581350822902809,10.95010423327513,11.79251713860669,-0.8424129053315603,0.295624492220146,0.1938465002213186,1.5902102531035391,0.6052970112316203,0.0009966562518292376,0.33675874349560747,1.091323331604571
163569381,0.8,1.42,0.12,0.4,128,-0.9238399587740621,-0.0001711893882548742,11.809021994651918,11.830934236348543,-0.021912241696625756,0.20539583119125604,0.007251386764325725,0.5543487467377078,0.8398330402661427,5.6244709471247585e-5,0.8353864969375271,1.0846810176535264
