eta,theta,beta1,beta2,beta3,beta4,objective,converged,max_gap,max_iter
0.035,0.05,-0.013950188124390474,0.0065379222650794495,-0.007103837974629057,0.0007981567711998676,0.007400699983159708,True,1.606331068781941e-05,24
0.2,0.03,-0.046431638650776416,0.021263500534051797,-0.0256405929059062,0.002922971790771665,0.007438285762315205,True,1.763926674924754e-05,28
0.08,0.02,-0.01299766031548856,0.006095976240395052,-0.0066033718014741685,0.000741560712814169,0.007450114514423847,True,1.6902264674101275e-05,24
0.025,0.065,-0.01285506358575125,0.0060283671348095435,-0.006533054512225586,0.0007337194483875168,0.007457890808366979,True,1.8828715068419655e-05,23
0.05,0.03,-0.01212359775269206,0.005688801119273809,-0.00614956354591561,0.0006903679664107784,0.00749801874434988,True,1.5153981503424063e-05,24
0.08,0.08,-0.047910624386181704,0.0218882043210874,-0.02668419688495033,0.003045917083948045,0.007531344538188,True,1.938448458305153e-05,27
0.065,0.1,-0.04806050052963272,0.02194339861594377,-0.026823907678084333,0.0030628323282690675,0.007543589015390345,True,1.7715921635019782e-05,27
0.035,0.04,-0.011258365966750611,0.0052853612822706545,-0.005701738369726417,0.0006398813339244776,0.007547728034575882,True,1.8178239261423812e-05,23
0.065,0.02,-0.010586858103846863,0.004972504819884504,-0.005353565168648903,0.0006006111783459153,0.007587829620197635,True,1.8463108923505445e-05,23
0.16,0.04,-0.049022184932634556,0.022395912560833137,-0.0273122802473782,0.0031177469583102127,0.007595012119493598,True,1.7746591753908803e-05,28
0.1,0.065,-0.04902187583019811,0.022382240904705024,-0.027368331390792814,0.003125115451015951,0.007599011690408787,True,1.5737742467658578e-05,28
0.025,0.05,-0.010005837590532802,0.004700736066445994,-0.005055682348148812,0.0005670962712362452,0.007623709734258219,True,1.556049935569348e-05,23
0.13,0.05,-0.04944577451786632,0.02257573786576833,-0.0276085036625744,0.00315259325181892,0.007624360939285906,True,1.7061305115584346e-05,28
0.035,0.03,-0.00851775708839448,0.004005448927533609,-0.0042909329754376915,0.00048100015362587963,0.007720136766390476,True,1.920894902651682e-05,22
0.05,0.02,-0.008163527438189502,0.0038397812893232633,-0.004109472037600054,0.00046058432531146103,0.007744078384804485,True,1.9094622955684315e-05,22
0.025,0.04,-0.008067834848416453,0.0037947728210176264,-0.0040611966545896945,0.00045517248899186073,0.007750629390195567,True,1.7550922737807895e-05,22
0.025,0.03,-0.006098605586237218,0.0028718987167619266,-0.00305869856936938,0.0003425359064987325,0.007891247113247905,True,1.8483886365494584e-05,21
0.035,0.02,-0.005728032786300707,0.0026980200826178893,-0.0028707958066878756,0.0003214415028520547,0.007919015091665739,True,1.7970964686586655e-05,21
0.025,0.02,-0.004097794633248788,0.0019319328239600021,-0.002047877466483371,0.00022915191181274133,0.008046095810705933,True,1.7233958178319853e-05,20
0.065,0.12,-0.056195013049219755,0.02545027741122446,-0.032329060900682716,0.003707294199204334,0.008174244531419645,True,1.8881492023448132e-05,27
0.05,0.16,-0.0562604591739854,0.02544749451337111,-0.032510504773118745,0.003730309834867591,0.00819145299056168,True,1.5660965626551615e-05,27
0.08,0.1,-0.05814121965442341,0.026297822447178074,-0.03361996519432939,0.0038579515993459167,0.008355591699505852,True,1.576917261503219e-05,28
0.1,0.08,-0.058796405910652896,0.026594038562983813,-0.034006859117126906,0.0039024686213898385,0.008415401488355451,True,1.756828557697432e-05,28
0.16,0.05,-0.059807360143620765,0.02705109452097217,-0.03460424813458297,0.0039712113161972035,0.008510356704432337,True,1.984242039609896e-05,29
0.2,0.04,-0.060152117366743134,0.027206958704623356,-0.034808085513380674,0.003994668819905145,0.008543479330755756,True,1.6200535241095437e-05,29
0.13,0.065,-0.06229431800539641,0.028093868912313257,-0.036443064782378125,0.0041882314401989595,0.008790417374627551,True,1.9803676899687872e-05,29
0.08,0.12,-0.06766834614067278,0.030285028243490917,-0.04074553336056425,0.004699123747465616,0.009501872368771576,True,1.671347014897684e-05,28
0.1,0.1,-0.07090666946991658,0.03164749687237759,-0.04316649336133417,0.004984570689688476,0.009964273311360034,True,1.9323221935874102e-05,28
0.065,0.16,-0.07101768269625869,0.03161051898217484,-0.04365628547227231,0.005046446943810751,0.010023142917185224,True,1.9920504904513692e-05,27
0.2,0.05,-0.07291897759108215,0.032544839544597304,-0.0444319318111075,0.005131271713904654,0.01024489168234702,True,1.8754825733768854e-05,29
0.13,0.08,-0.0741815230068282,0.03301737964013591,-0.04566879576856152,0.0052800415293897205,0.010475314161587325,True,1.645171322883776e-05,29
0.16,0.065,-0.07480638995621308,0.03329522392023136,-0.04606703987460039,0.0053262760721252385,0.010568526606092244,True,1.7880024439254072e-05,29
0.1,0.12,-0.08197763693183173,0.036075892430383,-0.05273415866997605,0.00612378125123341,0.011980799457993959,True,1.9568517894308357e-05,29
0.08,0.16,-0.08467382901875992,0.03704634153759443,-0.055684546079556474,0.006479083543594019,0.012623970568408865,True,1.7469192078678475e-05,28
0.16,0.08,-0.08839014161525797,0.03866938747461519,-0.058255478019604685,0.006779863637347454,0.013364413186495984,True,1.9818723839160057e-05,29
0.13,0.1,-0.08855016600100912,0.03868284484453542,-0.05867173939204884,0.006831313416470816,0.013438525373473295,True,1.7988693484571883e-05,29
0.2,0.065,-0.09026217272104839,0.03942932259828045,-0.05986748162653161,0.006971321379673508,0.013798450927284775,True,1.9144163671658276e-05,30
0.13,0.12,-0.10129000742905882,0.043383427542613096,-0.07253945324652986,0.00849471859521322,0.017139945965262405,True,1.896067647066957e-05,29
0.1,0.16,-0.10115831451195663,0.043195057019817296,-0.07322567527516818,0.008580457143681051,0.017234332034379476,True,1.996888265431984e-05,29
0.16,0.1,-0.10437202690092799,0.04456297086725314,-0.07573644999790304,0.008876691466096591,0.018124874458524773,True,1.9216223578588654e-05,30
0.2,0.08,-0.10548909643415096,0.04503839026251303,-0.07661215438458167,0.008980039388917492,0.018443704468437416,True,1.784591971554228e-05,30
0.16,0.12,-0.11809916363214554,0.049158889992376144,-0.09461426325180505,0.011145312665098222,0.023984911076298625,True,1.947762032816769e-05,30
0.2,0.1,-0.12275286811481678,0.05076381985316886,-0.10096109843256983,0.011905766788861427,0.026225261086773016,True,1.945256035917886e-05,30
0.13,0.16,-0.12237256716101633,0.05028748984242207,-0.10280160464159172,0.012130335980566344,0.026566409691735723,True,1.972612356104797e-05,29
0.2,0.12,-0.13701423062263227,0.05484653377334695,-0.127331371796666,0.015066069643816637,0.035786518900565716,True,1.970455320576825e-05,31
0.16,0.16,-0.13990673526153824,0.0552881224617607,-0.13589400234384338,0.01608936313152192,0.038895162581638755,True,1.8675041699944828e-05,30
0.2,0.16,-0.15890332563095927,0.059661084898309735,-0.184197305882932,0.021831089038664413,0.060335479702307966,True,1.8225104375657608e-05,31
