η,θ,β1,β2,β3,β4,objective
0.1,2.0,-0.40082270648056006,0.06206563315701011,-1.4814971868601146,0.17362257561845737,2.406701034267321
0.1,2.5,-0.3916660543267173,0.030683569080228536,-1.7979730802174445,0.2106690647464418,3.4612926821781924
0.2,1.0,-0.30739046211958915,-0.02912124001726361,-2.0284909586642366,0.23756623174305166,4.31442242323413
0.1,3.0,-0.3656832662032521,-0.0025795855409118055,-2.0512437268183787,0.24031697116606462,4.4412208790808085
0.1,4.0,-0.30148148770961186,-0.06296804192217216,-2.425263278741457,0.2839981853191642,6.120672261167524
0.2,1.2,-0.2246483319649381,-0.10663762974957786,-2.4642195515393843,0.28831205508722413,6.290544517080922
0.2,1.5,-0.06337010938343635,-0.23038167652927097,-3.0241900440157146,0.3534341923025019,9.43983732719143
0.2,2.0,0.24566046458842647,-0.42926287191800927,-3.7311171566341286,0.4361413333712043,14.529601180691186
0.2,2.5,0.5252970077952086,-0.5952868900230021,-4.2505599982257625,0.4974040742421972,19.16983692946856
0.2,3.0,0.7453667328615226,-0.7253343788521672,-4.6609103844381865,0.5458189970359844,23.36904171435593
0.2,4.0,1.0414975280165586,-0.9056535810370495,-5.273975041200415,0.617897046338499,30.423625551690805
0.5,1.0,1.37264798213034,-1.3124908616066284,-7.452059275702838,0.8645155840970739,60.3241196864005
0.5,1.2,1.6499754486689937,-1.5758646322457717,-8.781228508116588,1.0160547614902715,83.86441451961635
0.5,1.5,1.9798894658588246,-1.8998341825360316,-10.460610155143142,1.2070120843802117,1.0e10
0.5,2.0,2.38624377910062,-2.3002466532761434,-12.468403104049045,1.4342891686479429,1.0e10
0.5,2.5,2.5570976072430214,-2.5311161709997316,-13.637056944875576,1.5635303356177268,1.0e10
0.5,3.0,2.556205414839898,-2.6449871982939914,-14.232085804057666,1.6247595400462187,1.0e10
0.5,4.0,2.432623345433918,-2.7472271898488105,-14.978268891633416,1.6991064612341067,1.0e10
1.0,1.0,1.7669074710106665,-2.6824673776474524,-15.749874201371679,1.7710448002213433,1.0e10
1.0,1.2,1.2011850249954248,-2.6505035937222274,-16.519999849897662,1.8390653966757105,1.0e10
1.0,1.5,0.3893474123477759,-2.5350994134154945,-17.589463940186747,1.943076387661785,1.0e10
1.0,2.0,-0.7156523316324038,-2.33496887125257,-19.01972708969594,2.088591317870192,1.0e10
1.0,2.5,Inf,Inf,Inf,Inf,1.0e10
1.0,3.0,Inf,Inf,Inf,Inf,1.0e10
1.0,4.0,Inf,Inf,Inf,Inf,1.0e10
